,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
153,9/24/2014,vs DeSales,W,8-2,(6-0-1),,200,Lance Dotzman (3) (Joe Adams)  Lance Dotzman (4) (Bryan Attanasio)  Travis Wantchekon (2) Travis Wantchekon (3) (Phil Rahling)  Jeff Remley (1) (Joe Adams)  Lance Dotzman (5) (Nick Sarkos)  Nick Sarkos (3) Joey Roberts (2),msoc
154,9/27/2014,at Gettysburg,T,1-1,"(6-0-2, 1-0-1 CC)",1-0-1 CC,318,Travis Wantchekon (4),msoc
155,9/30/2014,vs Swarthmore,W,2-1,(7-0-2 (2-0-1 CC)),,150,Tommy Hoffmann (1) (Joe Adams)  Joe Adams (1) (Tommy Hoffmann),msoc
156,10/3/2014,at Franklin & Marshall,L,0-1,"(7-1-2,2-1-1)",2-1-1,382,,msoc
157,10/11/2014,at Washington College,W,3-0,"(8-1-2, 3-1-1 CC)",3-1-1 CC,100,Lance Dotzman (6) (Travis Wantchekon)  Tommy Hoffmann (2) (Joe Adams)  Nick Sarkos (4),msoc
158,10/18/2014,vs Haverford,W,4-3,(9-1-2 (4-1-1 CC)),,125,"Anthony Carracino (2) (Travis Wantchekon)  Travis Wantchekon (5) (Joe Adams , Phil Rahling)  Lance Dotzman (0) Phil Rahling (4) (Lance Dotzman)",msoc
159,10/25/2014,at Johns Hopkins,W,2-1,(10-1-2 (5-1-1 CC)),,500,Lance Dotzman (8) (Jack Dusing)  Travis Wantchekon (6),msoc
160,10/29/2014,vs Dickinson,W,2-1,(11-1-2 (6-1-1 CC)),,150,Lance Dotzman (0) Lance Dotzman (10) (Jack Dusing),msoc
161,11/1/2014,vs Ursinus,W,1-0,(12-1-2 (7-1-1 CC)),,135,Joey Roberts (3) (Travis Wantchekon),msoc
162,11/8/2014,vs Dickinson,W,1-0,(13-1-2),,266,Lance Dotzman (0) (Tommy Hoffmann),msoc
163,11/9/2014,vs Haverford,W,1-0,(14-1-2),,737,Phil Rahling (0),msoc
164,11/15/2014,vs Baruch,W,4-0,(15-1-2),,400,"Travis Wantchekon (7) (Oliver Katz , Nick Sarkos)  Lance Dotzman (12) Joe Adams (2) Lance Dotzman (0)",msoc
165,11/16/2014,vs Catholic,T,0-0,(15-1-3),,208,,msoc
166,11/22/2014,vs Tufts,L,0-2,(15-2-3),,432,,msoc
167,8/30/2013,vs Rutgers-Camden,L,1-2,(0-1),,250,Travis Wantchekon (1),msoc
168,8/31/2013,vs Neumann,W,2-0,(1-1),,200,Chris Royer (1) (Brendan McIntyre)  Joe Roberts (1),msoc
169,9/4/2013,at Wilkes,W,1-0,(2-1),,115,Lance Dotzman (0) (Jack Dusing),msoc
170,9/7/2013,vs Ithaca,W,1-0,(3-1),,100,"Chris Royer (2) (Bryan Attanasio , Joe Roberts)",msoc
171,9/11/2013,at Moravian,W,4-0,(4-1),,112,Jeff Reinhart (0) (Lance Dotzman)  Jeff Reinhart (0) (Lance Dotzman)  Lance Dotzman (0) (Joe Roberts)  Phil Rahling (0),msoc
172,9/18/2013,at Drew,L,1-2,(4-2),,323,Lance Dotzman (0) (Oliver Katz),msoc
173,9/21/2013,vs Gettysburg,L,1-2,(4-3 (0-1)),,150,Lance Dotzman (0),msoc
174,9/24/2013,at DeSales,L,0-1,(4-4 overall),,175,,msoc
