,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
85,9/15/2018,vs Franklin &amp; Marshall,T,0-0,"(3-1-1, 0-0-1)",0-0-1,200,,msoc
86,9/19/2018,vs DeSales,T,0-0,(3-1-2),,34,,msoc
87,9/22/2018,at Swarthmore,L,0-1,"(3-2-2, 0-1-1)",0-1-1,301,,msoc
88,9/29/2018,vs Johns Hopkins,L,0-1,"(3-3-2, 0-2-1)",0-2-1,150,,msoc
89,10/3/2018,at Rowan,L,1-2,(3-4-2),,220,"Kevin Hagan (0) (Matt Athanas-Linden , Mark Walter)",msoc
90,10/6/2018,at Gettysburg,L,0-2,"(3-5-2, 0-3-1 CC)",0-3-1 CC,108,,msoc
91,10/10/2018,vs Moravian,W,5-1,(4-5-2),,107,"Pete Luther (1) (Kevin Irving)  Pete Luther (2) (Kevin Irving)  Team (0) Kevin Hagan (4) Kevin Hagan (5) (Cameron Miller , Stephen Carton)",msoc
92,10/13/2018,at Ursinus,W,1-0,"(5-5-2, 1-3-1)",1-3-1,113,Cameron Miller (1),msoc
93,10/17/2018,vs Dickinson,L,0-3,"(5-6-2, 1-4-1)",1-4-1,75,,msoc
94,10/20/2018,vs McDaniel,W,2-0,"(6-6-2, 2-4-1)",2-4-1,219,"Noah Fulcomer (1) (Kevin Irving , Pete Luther)  Pete Luther (3)",msoc
95,10/23/2018,vs Elizabethtown,L,0-1,(6-7-2),,110,,msoc
96,10/25/2018,at Haverford,L,1-2,"(6-8-2, 2-5-1 CC)",2-5-1 CC,79,Kevin Irving (2),msoc
97,10/27/2018,at Washington College,W,2-1,"(7-8-2, 3-5-1)",3-5-1,270,"Stephen Carton (1) Josh Bordwick (2) (Mark Walter , Matt Athanas-Linden)",msoc
98,9/1/2017,at Lebanon Valley,W,2-1,(1-0),,375,"Zach Cimring (1) (Kevin Hagan , Shaun Bartholomew)  Kevin Irving (1)",msoc
99,9/7/2017,vs Immaculata,W,6-1,(2-0),,107,"Zach Cimring (2) (Kevin Hagan)  Matt Athanas-Linden (1) (Ted Kawoczka , Kevin Irving)  Anthony Carracino (1) Cameron Miller (1) (Anthony Carracino , Jordan Cimring)  Shaun Bartholomew (1) (Jan Chmura)  Victor Jacobs (1) (Jordan Cimring , Shaun Bartholomew)",msoc
100,9/9/2017,vs Centenary,T,0-0,(2-0-1),,134,,msoc
101,9/13/2017,at Drew,L,0-6,(2-1-1),,184,,msoc
102,9/16/2017,at Franklin & Marshall,L,0-1,"(2-2-1, 0-1 CC)",0-1 CC,412,,msoc
103,9/20/2017,at DeSales,L,0-1,(2-3-1),,175,,msoc
104,9/23/2017,vs Swarthmore,L,1-2,(2-4-1 (0-2 CC)),,222,Matt Athanas-Linden (2),msoc
105,9/27/2017,vs Haverford,T,0-0,(2-4-2 (0-2-1 CC)),,117,,msoc
106,9/30/2017,at Johns Hopkins,L,0-1,"(2-5-2, 0-3-1 CC)",0-3-1 CC,204,,msoc
107,10/3/2017,vs Rowan,L,2-3,(2-6-2),,100,"Cameron Miller (2) (Mark Winter , Brian Heckman)  Matt Athanas-Linden (3) (Cameron Miller)",msoc
