,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
178,vs McDaniel,01/14/17,46-60,L,19-71,0.268,4-26,0.154,4-8,0.5,20,24,44,48.0,23,12,15,3,12,46,67.9,wbball
179,vs DeSales,01/16/17,63-61,W,19-60,0.317,5-13,0.385,20-25,0.8,17,29,46,47.9,13,16,18,6,13,63,67.6,wbball
180,at Johns Hopkins,01/21/17,70-63,W,23-68,0.338,6-13,0.462,18-24,0.75,19,34,53,48.2,12,8,13,7,6,70,67.8,wbball
181,at Ursinus,01/24/17,70-51,W,24-54,0.444,7-12,0.583,15-22,0.682,12,30,42,47.8,17,14,15,6,9,70,67.9,wbball
182,vs Dickinson,01/26/17,73-63,W,23-57,0.404,6-18,0.333,21-25,0.84,11,35,46,47.7,17,15,16,4,6,73,68.2,wbball
183,at Washington College,01/28/17,82-40,W,30-65,0.462,7-20,0.35,15-18,0.833,15,43,58,48.3,17,22,12,9,4,82,68.9,wbball
184,at Swarthmore,02/01/17,76-34,W,27-69,0.391,7-25,0.28,15-20,0.75,17,36,53,48.5,17,15,11,8,8,76,69.3,wbball
185,vs Franklin & Marshall,02/04/17,79-47,W,30-67,0.448,10-22,0.455,9-16,0.563,16,22,38,48.0,25,18,8,7,9,79,69.7,wbball
186,vs Haverford,02/07/17,55-57,L,20-69,0.29,5-21,0.238,10-16,0.625,24,17,41,47.7,14,11,5,4,11,55,69.0,wbball
187,vs Gettysburg,02/09/17,84-65,W,28-70,0.4,8-14,0.571,20-20,1.0,13,33,46,47.6,20,19,7,4,2,84,69.7,wbball
188,at Bryn Mawr,02/15/17,98-40,W,40-94,0.426,12-26,0.462,6-11,0.545,28,35,63,48.3,19,26,8,3,16,98,70.9,wbball
189,at McDaniel,02/18/17,78-50,W,32-61,0.525,10-17,0.588,4-4,1.0,10,26,36,47.8,20,20,10,2,9,78,71.2,wbball
190,vs Dickinson,02/24/17,56-51,W,20-64,0.313,4-23,0.174,12-19,0.632,17,28,45,47.7,17,12,8,3,8,56,70.6,wbball
191,vs Gettysburg,02/25/17,74-61,W,23-60,0.383,2-10,0.2,26-34,0.765,18,31,49,47.7,18,12,11,3,4,74,70.7,wbball
192,at Geneseo,03/03/17,53-65,L,20-59,0.339,6-28,0.214,7-12,0.583,13,27,40,47.4,15,14,14,5,1,53,70.1,wbball
193,Muhlenberg,,-,,723-1994,0.363,166-524,0.317,350-494,0.709,512,816,1328,47.4,497,441,337,137,289,1962,70.1,wbball
194,Opponents,,-,,550-1644,0.335,146-486,0.3,325-494,0.658,341,801,1142,40.8,448,311,515,117,148,1571,56.1,wbball
195,at Moravian,11/14/15,77-74,W,28-76,0.368,5-11,0.455,16-27,0.593,24,35,59,59.0,15,18,21,8,9,77,77.0,wbball
196,vs Hood,11/20/15,82-50,W,34-75,0.453,4-16,0.25,10-12,0.833,18,35,53,56.0,16,22,27,8,16,82,79.5,wbball
197,vs SUNY Cortland,11/21/15,74-49,W,28-60,0.467,7-21,0.333,11-15,0.733,11,31,42,51.3,6,17,13,6,7,74,77.7,wbball
198,vs Franklin & Marshall,11/24/15,78-50,W,33-71,0.465,2-7,0.286,10-14,0.714,17,38,55,52.3,7,24,15,6,14,78,77.8,wbball
199,at Haverford,12/01/15,76-51,W,30-63,0.476,7-14,0.5,9-13,0.692,14,31,45,50.8,8,17,11,7,10,76,77.4,wbball
200,vs Gettysburg,12/05/15,81-72,W,28-67,0.418,8-16,0.5,17-20,0.85,14,27,41,49.2,16,23,11,3,11,81,78.0,wbball
201,vs Bryn Mawr,12/08/15,85-40,W,36-78,0.462,5-23,0.217,8-14,0.571,17,45,62,51.0,11,28,20,10,17,85,79.0,wbball
202,at DeSales,12/12/15,86-78,W,26-61,0.426,9-23,0.391,25-30,0.833,7,29,36,49.1,16,24,16,3,7,86,79.9,wbball
203,vs Dickinson,01/07/16,71-45,W,25-62,0.403,1-6,0.167,20-25,0.8,12,36,48,49.0,14,16,14,8,11,71,78.9,wbball
204,at Johns Hopkins,01/09/16,70-65,W,27-68,0.397,4-15,0.267,12-17,0.706,12,32,44,48.5,12,10,13,11,8,70,78.0,wbball
205,vs McDaniel,01/12/16,59-65,L,23-59,0.39,8-24,0.333,5-8,0.625,12,31,43,48.0,16,18,21,6,4,59,76.3,wbball
206,at Washington College,01/14/16,74-45,W,26-57,0.456,4-10,0.4,18-32,0.563,13,36,49,48.1,18,19,16,4,13,74,76.1,wbball
207,vs Stevens,01/18/16,74-54,W,29-71,0.408,5-15,0.333,11-15,0.733,16,29,45,47.8,12,20,11,8,13,74,75.9,wbball
208,vs Swarthmore,01/20/16,74-59,W,27-74,0.365,9-20,0.45,11-18,0.611,21,34,55,48.4,18,19,18,11,12,74,75.8,wbball
209,vs Ursinus,01/27/16,73-49,W,28-62,0.452,6-10,0.6,11-16,0.688,10,37,47,48.3,11,20,16,10,7,73,75.6,wbball
210,at McDaniel,01/30/16,58-54,W,21-60,0.35,3-11,0.273,13-19,0.684,12,34,46,48.1,15,12,18,5,7,58,74.5,wbball
211,at Franklin & Marshall,02/02/16,86-48,W,34-68,0.5,6-11,0.545,12-16,0.75,16,35,51,48.3,20,22,17,5,12,86,75.2,wbball
212,at Gettysburg,02/04/16,48-57,L,16-66,0.242,4-20,0.2,12-21,0.571,16,32,48,48.3,17,9,13,6,9,48,73.7,wbball
213,vs Johns Hopkins,02/06/16,66-54,W,25-62,0.403,6-18,0.333,10-15,0.667,16,24,40,47.8,8,19,13,1,10,66,73.3,wbball
214,at Dickinson,02/08/16,84-71,W,27-55,0.491,4-9,0.444,26-30,0.867,6,27,33,47.1,14,9,13,2,6,84,73.8,wbball
215,vs Haverford,02/10/16,62-35,W,22-59,0.373,2-12,0.167,16-25,0.64,16,36,52,47.3,11,12,14,6,12,62,73.2,wbball
216,vs Washington College,02/13/16,78-49,W,26-60,0.433,8-18,0.444,18-22,0.818,13,36,49,47.4,7,17,16,6,11,78,73.5,wbball
217,at Swarthmore,02/17/16,75-57,W,26-65,0.4,7-19,0.368,16-23,0.696,13,33,46,47.3,15,16,21,12,12,75,73.5,wbball
218,at Ursinus,02/20/16,78-52,W,28-57,0.491,5-10,0.5,17-25,0.68,16,32,48,47.4,18,15,10,16,6,78,73.7,wbball
219,vs Dickinson,02/26/16,64-56,W,23-57,0.404,4-11,0.364,14-15,0.933,9,37,46,47.3,11,14,17,5,8,64,73.3,wbball
220,vs McDaniel,02/27/16,83-59,W,29-52,0.558,3-11,0.273,22-28,0.786,7,36,43,47.2,11,19,17,8,9,83,73.7,wbball
221,vs St. John Fisher,03/04/16,81-72,W,26-50,0.52,8-13,0.615,21-31,0.677,9,26,35,46.7,18,20,18,6,8,81,74.0,wbball
222,vs Christopher Newport,03/05/16,42-65,L,13-47,0.277,5-10,0.5,11-16,0.688,8,20,28,46.0,10,9,15,2,7,42,72.8,wbball
223,Muhlenberg,,-,,744-1762,0.422,149-404,0.369,402-562,0.715,375,914,1289,46.0,371,488,445,189,276,2039,72.8,wbball
224,Opponents,,-,,566-1913,0.296,213-743,0.287,230-346,0.665,461,696,1157,41.3,486,396,487,97,188,1575,56.3,wbball
225,vs Moravian,11/15/14,60-61,L,22-86,0.256,6-23,0.261,10-21,0.476,32,32,64,64.0,21,13,21,3,14,60,60.0,wbball
226,at Swarthmore,11/19/14,95-65,W,34-75,0.453,7-25,0.28,20-30,0.667,18,38,56,60.0,19,20,8,1,6,95,77.5,wbball
227,vs Albertus Magnus,11/21/14,74-42,W,25-60,0.417,4-18,0.222,20-33,0.606,12,42,54,58.0,20,19,20,7,8,74,76.3,wbball
228,vs Scranton,11/22/14,55-77,L,20-56,0.357,6-18,0.333,9-11,0.818,15,13,28,50.5,17,13,15,1,5,55,71.0,wbball
229,at Haverford,11/25/14,40-61,L,16-68,0.235,5-26,0.192,3-6,0.5,23,22,45,49.4,18,10,14,3,4,40,64.8,wbball
230,at Dickinson,12/04/14,59-40,W,24-81,0.296,9-32,0.281,2-5,0.4,33,24,57,50.7,13,11,12,6,9,59,63.8,wbball
231,at Johns Hopkins,12/06/14,46-63,L,14-50,0.28,4-15,0.267,14-20,0.7,11,20,31,47.9,14,9,18,1,6,46,61.3,wbball
232,vs DeSales,12/13/14,51-64,L,18-70,0.257,2-14,0.143,13-29,0.448,31,22,53,48.5,20,14,20,5,11,51,60.0,wbball
233,vs Washington College,12/17/14,82-51,W,31-63,0.492,10-22,0.455,10-15,0.667,9,32,41,47.7,20,24,15,3,6,82,62.4,wbball
234,vs McDaniel,01/07/15,74-67,W,25-50,0.5,5-11,0.455,19-26,0.731,7,43,50,47.9,20,20,25,11,2,74,63.6,wbball
235,at Gettysburg,01/10/15,47-46,W,16-50,0.32,3-9,0.333,12-19,0.632,10,26,36,46.8,13,8,19,7,12,47,62.1,wbball
236,at Franklin & Marshall,01/13/15,74-36,W,27-64,0.422,6-19,0.316,14-21,0.667,20,40,60,47.9,15,14,17,6,9,74,63.1,wbball
237,vs Swarthmore,01/15/15,85-60,W,32-71,0.451,5-24,0.208,16-20,0.8,17,45,62,49.0,20,18,17,7,5,85,64.8,wbball
238,at Washington College,01/17/15,75-51,W,23-52,0.442,4-10,0.4,25-34,0.735,14,31,45,48.7,18,14,20,5,8,75,65.5,wbball
239,vs Ursinus,01/21/15,79-65,W,26-67,0.388,8-15,0.533,19-24,0.792,13,39,52,48.9,20,21,15,4,7,79,66.4,wbball
240,vs Johns Hopkins,01/24/15,50-31,W,18-59,0.305,2-15,0.133,12-15,0.8,18,31,49,48.9,9,8,15,6,12,50,65.4,wbball
241,vs Dickinson,01/29/15,79-67,W,23-55,0.418,2-7,0.286,31-36,0.861,16,19,35,48.1,15,11,14,6,12,79,66.2,wbball
242,at McDaniel,01/31/15,52-63,L,19-57,0.333,1-13,0.077,13-19,0.684,12,30,42,47.8,23,13,18,7,6,52,65.4,wbball
243,vs Haverford,02/04/15,66-53,W,27-72,0.375,6-18,0.333,6-10,0.6,19,23,42,47.5,8,21,10,3,15,66,65.4,wbball
244,vs Gettysburg,02/07/15,68-53,W,25-65,0.385,5-14,0.357,13-18,0.722,15,28,43,47.3,15,16,12,2,14,68,65.6,wbball
245,vs Elizabethtown,02/11/15,72-48,W,27-55,0.491,7-18,0.389,11-17,0.647,9,29,38,46.8,18,20,19,6,14,72,65.9,wbball
246,vs Franklin & Marshall,02/14/15,86-53,W,31-92,0.337,8-29,0.276,16-23,0.696,32,43,75,48.1,18,20,12,17,9,86,66.8,wbball
247,at Stevens,02/17/15,60-71,L,20-59,0.339,8-21,0.381,12-20,0.6,13,24,37,47.6,19,9,11,2,7,60,66.5,wbball
248,at Bryn Mawr,02/18/15,103-16,W,40-73,0.548,10-25,0.4,13-20,0.65,14,40,54,47.9,9,22,9,10,19,103,68.0,wbball
249,at Ursinus,02/21/15,70-56,W,29-67,0.433,0-11,0.0,12-18,0.667,17,33,50,48.0,11,11,14,3,5,70,68.1,wbball
250,vs Johns Hopkins,02/27/15,56-46,W,21-52,0.404,2-11,0.182,12-26,0.462,8,27,35,47.5,13,11,12,7,11,56,67.6,wbball
251,at McDaniel,02/28/15,68-64,W,24-50,0.48,3-7,0.429,17-25,0.68,10,30,40,47.2,16,10,16,4,3,68,67.6,wbball
252,at Cabrini,03/06/15,60-57,W,25-56,0.446,5-15,0.333,5-10,0.5,10,32,42,47.0,16,16,19,3,4,60,67.4,wbball
253,at Geneseo,03/07/15,54-69,L,22-62,0.355,5-15,0.333,5-8,0.625,8,24,32,46.5,23,14,13,5,7,54,66.9,wbball
254,Muhlenberg,,-,,704-1837,0.383,148-500,0.296,384-579,0.663,466,882,1348,46.5,481,430,450,151,250,1940,66.9,wbball
255,Opponents,,-,,541-1717,0.315,161-549,0.293,353-535,0.66,379,756,1135,39.1,506,336,482,80,177,1596,55.0,wbball
256,vs Rowan,11/15/13,92-72,W,37-98,0.378,2-13,0.154,16-25,0.64,32,32,64,64.0,21,21,19,3,17,92,92.0,wbball
257,vs Misericordia,11/16/13,77-54,W,31-83,0.373,6-13,0.462,9-15,0.6,26,41,67,65.5,27,21,18,3,4,77,84.5,wbball
258,vs Swarthmore,11/20/13,75-74,W (OT),28-88,0.318,4-21,0.19,15-20,0.75,21,39,60,63.7,23,23,17,4,3,75,81.3,wbball
259,at Washington College,11/23/13,76-75,W (OT),25-58,0.431,2-8,0.25,24-35,0.686,10,24,34,56.3,21,16,30,6,10,76,80.0,wbball
260,vs Haverford,11/26/13,80-87,L,22-74,0.297,11-37,0.297,25-35,0.714,25,16,41,53.2,26,17,12,3,10,80,80.0,wbball
261,at Moravian,12/03/13,68-73,L,27-71,0.38,0-6,0.0,14-21,0.667,20,32,52,53.0,20,8,24,9,13,68,78.0,wbball
262,vs Johns Hopkins,12/07/13,58-65,L,19-63,0.302,7-18,0.389,13-22,0.591,16,22,38,50.9,22,12,16,3,9,58,75.1,wbball
263,at DeSales,12/14/13,46-56,L,14-51,0.275,0-7,0.0,18-28,0.643,14,42,56,51.5,19,5,27,6,3,46,71.5,wbball
264,at Albertus Magnus,12/16/13,80-68,W,32-77,0.416,6-19,0.316,10-22,0.455,24,31,55,51.9,18,20,14,1,6,80,72.4,wbball
265,at Elizabethtown,01/06/14,56-81,L,18-71,0.254,2-12,0.167,18-26,0.692,26,26,52,51.9,19,6,22,3,10,56,70.8,wbball
266,at McDaniel,01/08/14,45-52,L,18-54,0.333,1-10,0.1,8-16,0.5,13,29,42,51.0,19,12,17,8,11,45,68.5,wbball
267,vs Gettysburg,01/11/14,62-57,W,22-54,0.407,3-14,0.214,15-23,0.652,9,35,44,50.4,13,16,15,4,3,62,67.9,wbball
268,vs Franklin & Marshall,01/14/14,64-47,W,27-57,0.474,4-12,0.333,6-7,0.857,9,25,34,49.2,19,21,18,5,15,64,67.6,wbball
269,at Swarthmore,01/16/14,61-67,L,23-65,0.354,3-17,0.176,12-18,0.667,18,31,49,49.1,18,14,13,1,7,61,67.1,wbball
270,vs Washington College,01/18/14,66-54,W,20-60,0.333,2-10,0.2,24-39,0.615,16,23,39,48.5,23,13,5,1,13,66,67.1,wbball
271,at Ursinus,01/22/14,67-43,W,23-58,0.397,5-17,0.294,16-22,0.727,16,30,46,48.3,10,14,14,4,10,67,67.1,wbball
272,at Johns Hopkins,01/25/14,58-54,W,19-46,0.413,5-10,0.5,15-23,0.652,9,26,35,47.5,17,11,23,3,11,58,66.5,wbball
273,at Dickinson,01/30/14,48-35,W,19-50,0.38,2-13,0.154,8-14,0.571,11,28,39,47.1,14,10,12,3,6,48,65.5,wbball
274,vs McDaniel,02/01/14,60-59,W,19-49,0.388,1-6,0.167,21-32,0.656,7,26,33,46.3,10,14,12,2,13,60,65.2,wbball
275,at Haverford College,02/05/14,44-49,L,15-46,0.326,5-11,0.455,9-13,0.692,13,24,37,45.9,16,9,18,2,5,44,64.2,wbball
276,at Gettysburg,02/08/14,50-63,L,13-50,0.26,3-15,0.2,21-31,0.677,15,33,48,46.0,25,6,31,4,12,50,63.5,wbball
277,vs Wilkes,02/10/14,62-59,W,23-67,0.343,5-19,0.263,11-14,0.786,15,30,45,45.9,12,19,14,5,11,62,63.4,wbball
278,at Franklin & Marshall,02/15/14,70-58,W,27-66,0.409,3-14,0.214,13-22,0.591,9,28,37,45.5,20,14,10,4,14,70,63.7,wbball
279,vs Dickinson,02/18/14,68-34,W,29-66,0.439,8-17,0.471,2-4,0.5,11,29,40,45.3,16,23,17,11,14,68,63.9,wbball
280,vs Ursinus,02/22/14,76-66,W,27-45,0.6,4-9,0.444,18-32,0.563,11,20,31,44.7,15,23,20,3,14,76,64.4,wbball
281,vs Gettysburg,02/26/14,51-66,L,19-60,0.317,5-21,0.238,8-13,0.615,10,20,30,44.2,17,16,7,6,3,51,63.8,wbball
282,Muhlenberg,,-,,596-1627,0.366,99-369,0.268,369-572,0.645,406,742,1148,44.2,480,384,445,107,247,1660,63.8,wbball
283,Opponents,,-,,532-1537,0.346,128-446,0.287,376-550,0.684,350,715,1065,41.0,476,320,474,51,192,1568,60.3,wbball
284,vs Centenary (N.J.),11/16/12,82-44,W,31-67,0.463,9-23,0.391,11-20,0.55,14,40,54,54.0,16,20,21,5,16,82,82.0,wbball
285,vs King's,11/17/12,69-73,L,21-69,0.304,9-35,0.257,18-20,0.9,19,36,55,54.5,20,16,17,4,5,69,75.5,wbball
286,vs Gettysburg,11/20/12,61-46,W,19-63,0.302,9-21,0.429,14-18,0.778,17,37,54,54.3,14,14,13,6,2,61,70.7,wbball
287,vs Swarthmore,11/29/12,56-66,L,19-60,0.317,5-24,0.208,13-18,0.722,16,23,39,50.5,18,14,20,3,6,56,67.0,wbball
288,at Washington College,12/01/12,59-44,W,21-63,0.333,5-10,0.5,12-17,0.706,13,32,45,49.4,18,14,10,5,8,59,65.4,wbball
289,at DeSales,12/03/12,59-48,W,21-48,0.438,5-12,0.417,12-14,0.857,8,34,42,48.2,11,16,23,6,8,59,64.3,wbball
290,vs Bryn Mawr,12/05/12,100-34,W,41-72,0.569,4-11,0.364,14-21,0.667,20,32,52,48.7,12,26,8,8,11,100,69.4,wbball
291,at Johns Hopkins,12/08/12,49-43,W,19-54,0.352,3-13,0.231,8-13,0.615,11,32,43,48.0,10,12,9,3,5,49,66.9,wbball
292,vs Moravian,12/16/12,60-64,L,22-65,0.338,3-13,0.231,13-20,0.65,17,31,48,48.0,22,11,15,6,5,60,66.1,wbball
293,at Misericordia,12/18/12,93-41,W,35-67,0.522,6-12,0.5,17-22,0.773,18,46,64,49.6,21,19,23,5,8,93,68.8,wbball
294,vs McDaniel,01/05/13,66-48,W,24-63,0.381,2-11,0.182,16-17,0.941,19,29,48,49.5,14,14,13,6,8,66,68.5,wbball
295,vs Franklin & Marshall,01/08/13,53-43,W,18-56,0.321,4-11,0.364,13-20,0.65,10,31,41,48.8,12,10,14,3,9,53,67.3,wbball
296,at Gettysburg,01/12/13,49-62,L,16-56,0.286,3-9,0.333,14-21,0.667,12,27,39,48.0,23,8,24,1,12,49,65.8,wbball
297,at Dickinson,01/15/13,51-64,L,20-71,0.282,2-11,0.182,9-14,0.643,14,32,46,47.9,22,5,18,4,4,51,64.8,wbball
298,at Haverford,01/17/13,41-55,L,17-55,0.309,2-12,0.167,5-8,0.625,14,23,37,47.1,12,12,21,1,8,41,63.2,wbball
299,vs Washington College,01/19/13,77-69,W,24-60,0.4,5-18,0.278,24-31,0.774,12,25,37,46.5,20,13,6,5,9,77,64.1,wbball
300,at Ursinus,01/23/13,67-48,W,28-64,0.438,2-9,0.222,9-15,0.6,14,34,48,46.6,19,13,15,7,10,67,64.2,wbball
301,vs Johns Hopkins,01/26/13,44-52,L,15-58,0.259,1-18,0.056,13-13,1.0,9,22,31,45.7,17,10,12,4,8,44,63.1,wbball
302,at Swarthmore,01/30/13,66-68,L,27-56,0.482,6-12,0.5,6-11,0.545,13,20,33,45.1,15,17,17,6,9,66,63.3,wbball
303,at Franklin & Marshall,02/02/13,71-64,W (OT),25-71,0.352,8-16,0.5,13-17,0.765,15,23,38,44.7,15,13,12,6,17,71,63.7,wbball
304,vs Dickinson,02/05/13,82-52,W,33-67,0.493,4-18,0.222,12-17,0.706,20,22,42,44.6,17,14,12,7,11,82,64.5,wbball
305,at Bryn Mawr,02/06/13,77-43,W,32-77,0.416,1-17,0.059,12-19,0.632,26,16,42,44.5,15,17,10,3,24,77,65.1,wbball
306,at McDaniel,02/09/13,67-47,W,27-64,0.422,11-25,0.44,2-5,0.4,18,27,45,44.5,16,17,15,7,7,67,65.2,wbball
307,vs Haverford,02/13/13,68-59,W,20-52,0.385,9-23,0.391,19-21,0.905,8,29,37,44.2,11,12,13,3,5,68,65.3,wbball
308,vs Ursinus,02/16/13,75-63,W,23-56,0.411,10-18,0.556,19-25,0.76,17,19,36,43.8,16,18,10,5,8,75,65.7,wbball
309,at Swarthmore,02/22/13,56-62,L,23-74,0.311,3-14,0.214,7-17,0.412,21,27,48,44.0,19,8,9,4,6,56,65.3,wbball
310,Muhlenberg,,-,,621-1628,0.381,131-416,0.315,325-454,0.716,395,749,1144,44.0,425,363,380,123,229,1698,65.3,wbball
311,Opponents,,-,,484-1490,0.325,120-431,0.278,314-476,0.66,331,668,999,38.4,391,273,455,88,178,1402,53.9,wbball
