,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
40,at Washington College,01/14/23,70-64,W,23-59,0.39,10-28,0.357,14-23,0.609,13,28,41,38.9,16,14,12,2,6,70,60.4,wbball
41,at Haverford,01/18/23,53-66,L,23-60,0.383,5-22,0.227,2-6,0.333,14,22,36,38.7,11,14,12,5,5,53,59.9,wbball
42,vs Johns Hopkins,01/21/23,42-60,L,14-56,0.25,4-24,0.167,10-12,0.833,10,21,31,38.2,12,7,9,1,2,42,58.8,wbball
43,vs McDaniel,01/24/23,54-46,W,21-52,0.404,4-20,0.2,8-11,0.727,8,25,33,37.9,10,8,10,6,4,54,58.5,wbball
44,at Swarthmore,01/26/23,43-58,L,17-53,0.321,4-18,0.222,5-7,0.714,9,23,32,37.6,14,12,21,4,12,43,57.7,wbball
45,vs Gettysburg,01/28/23,59-57,W,23-57,0.404,8-16,0.5,5-7,0.714,9,27,36,37.5,14,16,17,4,7,59,57.7,wbball
46,at Dickinson,02/01/23,38-56,L,13-46,0.283,4-15,0.267,8-12,0.667,9,24,33,37.3,12,8,21,3,4,38,56.8,wbball
47,vs Haverford,02/07/23,49-38,W,19-55,0.345,7-25,0.28,4-5,0.8,8,30,38,37.3,11,18,11,2,10,49,56.4,wbball
48,vs Dickinson,02/09/23,35-57,L,11-42,0.262,5-19,0.263,8-10,0.8,5,17,22,36.6,6,7,13,4,11,35,55.4,wbball
49,at Franklin & Marshall,02/11/23,56-47,W,17-51,0.333,6-18,0.333,16-22,0.727,10,25,35,36.5,25,10,11,2,6,56,55.4,wbball
50,at Ursinus,02/15/23,77-71,W,26-71,0.366,9-29,0.31,16-23,0.696,18,32,50,37.1,14,14,16,0,7,77,56.3,wbball
51,vs Washington College,02/18/23,66-52,W,22-58,0.379,9-28,0.321,11-15,0.733,9,21,30,36.8,3,16,11,3,14,64,56.6,wbball
52,at Haverford,02/21/23,46-58,L,18-58,0.31,3-18,0.167,7-10,0.7,8,28,36,36.8,12,11,10,2,7,46,56.2,wbball
53,Muhlenberg,,-,,526-1525,0.345,169-592,0.285,241-366,0.658,280,676,956,36.8,333,315,342,100,191,1462,56.2,wbball
54,Opponents,,-,,566-1541,0.367,115-406,0.283,221-347,0.637,329,756,1085,41.7,362,304,394,87,174,1468,56.5,wbball
55,at Cabrini,11/13/21,67-57,W,22-66,0.333,9-23,0.391,14-26,0.538,17,31,48,48.0,19,14,17,2,12,67,67.0,wbball
56,vs DeSales,11/16/21,65-61,W,27-66,0.409,4-18,0.222,7-10,0.7,15,34,49,48.5,14,15,27,11,16,65,66.0,wbball
57,vs Johns Hopkins,11/20/21,52-62,L,17-68,0.25,3-16,0.188,15-16,0.938,10,26,36,44.3,19,11,9,2,12,52,61.3,wbball
58,vs Bryn Mawr,11/23/21,79-35,W,29-83,0.349,12-40,0.3,9-12,0.75,26,29,55,47.0,15,22,15,6,12,79,65.8,wbball
