,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
40,at Gettysburg,01/10/23,59-74,L,22-51,0.431,6-13,0.462,9-14,0.643,6,25,31,34.8,18,5,18,1,6,59,72.0,mbball
41,vs Dickinson,01/12/23,84-68,W,28-60,0.467,8-23,0.348,20-27,0.741,13,29,42,35.3,17,14,16,2,7,84,72.9,mbball
42,at Washington College,01/14/23,90-63,W,34-63,0.54,10-19,0.526,12-15,0.8,9,27,36,35.3,14,19,8,5,7,90,74.0,mbball
43,at Haverford,01/18/23,82-61,W,34-62,0.548,11-25,0.44,3-5,0.6,7,33,40,35.6,14,18,11,4,6,82,74.5,mbball
44,vs Johns Hopkins,01/21/23,65-77,L,24-56,0.429,5-20,0.25,12-20,0.6,5,23,28,35.2,21,4,7,3,5,65,73.9,mbball
45,vs Swarthmore,01/26/23,65-88,L,25-54,0.463,5-14,0.357,10-17,0.588,6,19,25,34.6,13,12,14,2,3,65,73.4,mbball
46,vs Gettysburg,01/28/23,72-62,W,25-49,0.51,3-8,0.375,19-26,0.731,4,27,31,34.4,15,8,14,4,4,72,73.4,mbball
47,at Dickinson,02/01/23,61-77,L,23-64,0.359,4-14,0.286,11-17,0.647,11,23,34,34.4,12,7,6,7,7,61,72.8,mbball
48,at McDaniel,02/04/23,78-65,W,24-53,0.453,3-15,0.2,27-30,0.9,8,34,42,34.8,25,7,15,7,2,78,73.0,mbball
49,vs Haverford,02/07/23,71-65,W,25-52,0.481,9-19,0.474,12-15,0.8,9,26,35,34.8,10,12,16,4,9,71,72.9,mbball
50,at Franklin & Marshall,02/11/23,81-67,W,29-54,0.537,7-20,0.35,16-18,0.889,7,30,37,34.9,18,12,13,4,7,81,73.3,mbball
51,at Ursinus,02/15/23,94-61,W,37-57,0.649,8-19,0.421,12-17,0.706,5,28,33,34.8,14,11,9,2,3,94,74.1,mbball
52,vs Washington College,02/18/23,86-70,W,31-57,0.544,6-15,0.4,18-27,0.667,10,34,44,35.2,15,16,13,2,3,86,74.6,mbball
