,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
28,4/14/2024,at,Gettysburg,W,15-5,30,15,10,12,3,0,1,2,0,4,0,3,1,0,0,4,15,5,1,0.333,softball
29,4/16/2024,at,Haverford,L,4-5,24,4,4,4,0,0,2,0,0,1,0,1,1,0,0,1,18,8,2,0.167,softball
30,4/16/2024,at,Haverford,W,7-4,32,7,10,4,2,0,0,4,0,2,0,1,1,0,0,3,21,10,2,0.313,softball
31,4/18/2024,at,Moravian,L,0-14,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,12,6,4,0.059,softball
32,4/18/2024,at,Moravian,W,14-9,38,14,14,13,0,1,2,1,0,2,0,1,0,0,0,8,21,8,3,0.368,softball
33,4/23/2024,,Swarthmore,L,0-4,23,0,3,0,1,0,0,1,0,0,0,0,0,0,0,6,21,5,0,0.13,softball
34,4/23/2024,,Swarthmore,W,6-2,25,6,8,6,2,0,1,1,0,2,2,0,2,1,0,0,21,9,3,0.32,softball
35,4/27/2024,,McDaniel,W,14-13,50,14,19,11,4,2,0,2,0,4,0,0,6,0,1,5,39,15,2,0.38,softball
36,4/27/2024,,McDaniel,W,7-1,29,7,9,5,5,2,0,1,0,3,0,0,1,0,0,0,21,4,0,0.31,softball
37,4/30/2024,,Dickinson,W,6-0,29,6,11,3,1,0,0,0,0,7,1,0,2,0,0,1,21,6,1,0.379,softball
38,5/2/2024,at,Washington College,W,11-2,33,11,13,11,1,0,1,5,0,3,0,1,0,1,0,2,21,7,3,0.394,softball
