,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,UP,DN,GB,TO,CTO,Faceoff,PEN-MIN,team_name
93,2/21/18,at Susquehanna,W,8-6,8,5,13,20,0.4,15,0.75,1,0,0,22,23,8,10-6,8-06:00,mlax
94,2/24/18,Scranton,W,9-8,9,4,13,31,0.29,18,0.581,1,1,0,22,15,7,8-12,3-02:00,mlax
95,3/08/18,at Rhodes,W,10-6,10,5,15,38,0.263,18,0.474,1,3,0,35,19,7,8-11,3-03:00,mlax
96,3/11/18,Gordon,W,19-8,19,11,30,52,0.365,28,0.538,1,1,0,41,18,4,27-3,6-04:00,mlax
97,3/14/18,at Drew,W,8-4,8,3,11,38,0.211,21,0.553,1,0,0,28,16,8,10-6,1-00:30,mlax
98,3/17/18,at Moravian,W,16-2,16,8,24,46,0.348,28,0.609,1,4,0,35,13,6,12-8,1-01:00,mlax
99,3/23/18,at FDU-Florham,W,15-8,15,8,23,50,0.3,36,0.72,1,1,0,47,19,8,17-9,9-07:00,mlax
100,3/28/18,Haverford,L,9-11,9,3,12,35,0.257,23,0.657,0,1,0,30,15,4,14-9,4-03:30,mlax
101,3/31/18,at Gettysburg,L,11-18,11,7,18,33,0.333,23,0.697,0,2,0,31,16,4,15-17,2-01:30,mlax
102,4/11/18,Swarthmore,W,10-9,10,8,18,36,0.278,24,0.667,1,1,0,30,9,4,9-13,2-02:00,mlax
103,4/14/18,McDaniel,W,16-7,16,9,25,50,0.32,29,0.58,1,1,1,28,19,5,18-8,5-04:00,mlax
104,4/17/18,at Washington College,L,8-14,8,6,14,27,0.296,16,0.593,0,1,0,28,17,4,16-10,6-05:30,mlax
105,4/21/18,at Dickinson,L,5-19,5,2,7,25,0.2,17,0.68,0,1,0,23,15,2,9-17,2-01:30,mlax
106,4/25/18,at Ursinus,L,7-20,7,1,8,27,0.259,14,0.519,0,1,0,25,17,3,19-12,5-04:30,mlax
107,4/28/18,Franklin & Marshall,L,8-14,8,6,14,27,0.296,17,0.63,0,1,0,32,17,7,14-12,2-01:30,mlax
108,5/12/18,SUNY Canton,W,19-5,19,12,31,57,0.333,37,0.649,1,2,0,42,13,6,16-10,10-09:00,mlax
109,5/13/18,Stockton,L,12-14,12,6,18,41,0.293,21,0.512,0,1,0,37,22,5,22-5,5-05:00,mlax
110,,Muhlenberg,,205-176,205,111,316,685,0.299,415,0.606,11,22,1,566,298,98,257-175,77-63:00,mlax
111,,Opponents,,176-205,176,91,267,655,0.269,399,0.609,7,29,1,527,257,126,175-257,68-56:00,mlax
112,2/22/17,Susquehanna,L,4-12,4,1,5,27,0.148,16,0.593,0,0,0,24,20,8,11-8,9-09:30,mlax
113,2/25/17,at Scranton,L,5-14,5,3,8,35,0.143,16,0.457,0,1,0,31,16,6,15-7,2-02:00,mlax
114,3/03/17,FDU-Florham,L,9-12,9,2,11,33,0.273,22,0.667,0,1,0,32,11,6,9-14,11-08:00,mlax
115,3/08/17,vs Moravian,W,14-6,14,7,21,50,0.28,32,0.64,1,4,0,31,14,11,17-7,3-02:00,mlax
116,3/19/17,Elmira,W,20-4,20,10,30,58,0.345,40,0.69,1,1,0,49,10,10,20-7,6-05:00,mlax
117,3/22/17,Lebanon Valley,L,6-9,6,1,7,29,0.207,18,0.621,0,0,0,33,16,5,11-6,7-04:30,mlax
118,3/29/17,at Haverford,L,6-14,6,2,8,30,0.2,18,0.6,0,1,0,27,15,7,13-10,3-02:30,mlax
119,4/02/17,Gettysburg,L,6-17,6,3,9,36,0.167,24,0.667,0,0,0,26,19,3,17-10,2-01:00,mlax
120,4/08/17,Washington College,L,3-13,3,2,5,26,0.115,15,0.577,0,0,0,24,15,1,12-8,2-01:30,mlax
121,4/12/17,at Swarthmore,L,9-14,9,3,12,31,0.29,21,0.677,0,0,0,25,13,5,10-16,3-04:00,mlax
122,4/15/17,at McDaniel,L,9-19,9,3,12,30,0.3,18,0.6,0,1,0,18,17,8,13-18,6-08:00,mlax
123,4/22/17,Dickinson,L,3-17,3,2,5,14,0.214,7,0.5,0,0,0,26,22,5,7-16,0-00:00,mlax
124,4/26/17,Ursinus,L,10-16,10,6,16,41,0.244,20,0.488,0,3,0,28,14,4,13-17,1-01:00,mlax
125,4/29/17,at Franklin & Marshall,L,4-19,4,2,6,28,0.143,17,0.607,0,1,0,31,19,5,12-15,3-03:00,mlax
126,,Muhlenberg,,108-186,108,47,155,468,0.231,284,0.607,2,13,0,405,221,84,180-159,58-52:00,mlax
127,,Opponents,,186-108,186,102,288,539,0.345,350,0.649,12,20,1,471,208,107,159-180,48-40:30,mlax
128,2/24/16,at Susquehanna,L,7-12,7,3,10,24,0.292,15,0.625,0,0,0,13,19,5,6-14,3-02:30,mlax
129,2/27/16,Scranton,L,8-11,8,4,12,29,0.276,20,0.69,0,3,0,27,17,11,6-16,2-01:30,mlax
130,3/02/16,at Centenary (NJ),W,12-8,12,6,18,45,0.267,26,0.578,1,3,0,29,16,4,16-8,3-02:30,mlax
131,3/05/16,at Lebanon Valley,L,4-5,4,1,5,34,0.118,19,0.559,0,0,0,31,15,10,7-6,6-05:30,mlax
132,3/09/16,at Moravian,W,15-7,15,5,20,47,0.319,33,0.702,1,1,0,42,8,8,16-9,5-04:00,mlax
133,3/12/16,at Lycoming,W,11-5,11,5,16,34,0.324,19,0.559,1,4,0,27,16,3,14-5,6-07:30,mlax
134,3/16/16,at Montclair State,L,5-15,5,2,7,22,0.227,10,0.455,0,1,0,22,14,3,8-15,2-01:30,mlax
