,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
72,9/7/2018,at Delaware Valley,W,5-0,(2-0-1),,111,Mia Mulin (0) (Cortney Blake)  Mia Mulin (0) (Cortney Blake)  Isabel Schwartz (0) (Danni Steigerwald)  Isabel Schwartz (0) Lindsay Scott (0) (Bianca Capozzi),wsoc
73,9/9/2018,at Arcadia,L,0-2,(2-1-1),,68,,wsoc
74,9/12/2018,vs Moravian,L,0-2,(2-2-1),,50,,wsoc
75,9/15/2018,vs Franklin &amp; Marshall,W,2-0,"(3-2-1, 1-0)",1-0,100,Danni Steigerwald (1) Kayleigh Durning (1) (Karolyn Kawa),wsoc
76,9/19/2018,vs Haverford,L,1-2,"(3-3-1, 1-1-0)",1-1-0,87,Danni Steigerwald (2),wsoc
77,9/22/2018,at Dickinson,L,0-1,"(3-4-1, 1-2-0)",1-2-0,200,,wsoc
78,10/2/2018,at Bryn Mawr,W,2-0,"(4-4-1, 2-2-0)",2-2-0,41,"Mia Mulin (3) (Makenzie O'Brien , Danni Steigerwald)  Danni Steigerwald (3) (Makenzie O'Brien , Hannah Merlo)",wsoc
79,10/6/2018,vs Johns Hopkins,L,0-1,"(4-4-1, 2-2-0)",2-2-0,200,,wsoc
80,10/10/2018,at Ursinus,W,1-0,"(5-5-1, 3-3-0)",3-3-0,147,Danni Steigerwald (4) (Makenzie O'Brien),wsoc
81,10/13/2018,at Gettysburg,T,1-1,"(5-5-2, 3-3-1 CC)",3-3-1 CC,67,Casarah Morales (0) (Makenzie O'Brien),wsoc
82,10/17/2018,at Kean,W,1-0,(6-5-2),,144,Casarah Morales (2),wsoc
83,10/20/2018,vs McDaniel,L,1-4,"(6-6-2, 3-4-1)",3-4-1,126,Danni Steigerwald (4),wsoc
84,10/24/2018,vs Swarthmore,L,0-3,"(6-7-2, 3-5-1)",3-5-1,300,,wsoc
85,10/27/2018,at Washington College,L,0-2,"(6-7-2, 3-5-1)",3-5-1,122,,wsoc
86,9/1/2017,at Gwynedd Mercy,W,1-0,(1-0),,75,Danni Steigerwald (1) (Makenzie O'Brien),wsoc
87,9/4/2017,at Wilkes,L,1-2,(1-1-0),,140,Alyssa Rose (0),wsoc
88,9/9/2017,vs Delaware Valley,W,3-0,(2-1),,79,Carly DeNigris (0) (Sarah Hunter)  Meghan MacAskill (0) (Carly DeNigris)  Isabel Schwartz (0),wsoc
89,9/10/2017,at Arcadia,L,2-3,(2-2),,250,Sarah Hunter (0) (Carly DeNigris)  Casarah Morales (0) (Alyssa Rose),wsoc
90,9/13/2017,at Moravian College,L,0-1,(2-3),,283,,wsoc
91,9/16/2017,at Franklin & Marshall,T,0-0,(2-3-1),,106,,wsoc
92,9/20/2017,at Haverford,L,1-2,"(2-4-1, 0-1-1 CC)",0-1-1 CC,70,Mia Mulin (1) (Alyssa Rose),wsoc
93,9/23/2017,vs Dickinson,T,1-1,(2-4-2 (0-1-2 CC)),,125,Isabel Schwartz (2),wsoc
94,9/26/2017,at DeSales,L,1-5,(2-5-2),,100,Casarah Morales (2) (Carly DeNigris),wsoc
95,10/4/2017,vs Bryn Mawr,W,5-0,(3-5-2 (1-1-2 CC)),,40,Carly DeNigris (2) Isabel Schwartz (3) Karolyn Kawa (1) (Carly DeNigris)  Alyssa Rose (2) Alyssa Rose (3),wsoc
96,10/7/2017,at Johns Hopkins,L,0-1,(3-6-2 (1-2-2)),,165,,wsoc
97,10/11/2017,vs Ursinus,W,1-0,(4-6-2 (2-2-2 CC)),,75,Carly DeNigris (3),wsoc
98,10/14/2017,vs Gettysburg,L,0-1,(4-7-2 (2-3-2 CC)),,116,,wsoc
99,10/18/2017,vs Kean,T,1-1,(4-7-3),,106,Alyssa Rose (4),wsoc
100,10/21/2017,at McDaniel,T,0-0,"(4-7-4, 2-3-3 CC)",2-3-3 CC,308,,wsoc
101,10/25/2017,at Swarthmore,L,2-3,"(4-8-4, 2-3-3 CC)",2-3-3 CC,53,Carly DeNigris (0) (Danni Steigerwald)  Isabel Schwartz (0) (Carly DeNigris),wsoc
102,10/28/2017,vs Washington College,W,2-1,(5-8-4 (3-4-3 CC)),,146,Makenzie O'Brien (1) Makenzie O'Brien (2) (Casarah Morales),wsoc
103,9/1/2016,vs Gwynedd Mercy,L,0-1,(0-1),,231,,wsoc
104,9/3/2016,vs Wilkes,W,1-0,(1-1),,200,Danni Steigerwald (1) (Emily Jordan),wsoc
105,9/10/2016,vs Delaware Valley,W,3-0,(2-1),,46,Sarah Hunter (0) (Danni Steigerwald)  Claire Douglass (0) Meghan MacAskill (0),wsoc
106,9/11/2016,at Arcadia,L,0-1,(2-2),,96,,wsoc
107,9/17/2016,vs McDaniel,L,0-1,"(2-3,0-1)",0-1,147,,wsoc
108,9/20/2016,vs Scranton,L,2-3,(2-4),,214,Casarah Morales (1) Meghan Allen (1) (Alyssa Rose),wsoc
