,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
83,11/3/2018,at Franklin & Marshall,L,1-2,(10-8),,352,Rachel Richards (4),fhockey
84,9/1/2017,at Scranton,L,1-2,"(0-1, 0-0)",0-0,125,Laura Holdman (1) (Leah Keller),fhockey
85,9/6/2017,vs DeSales,L,0-1,(0-2),,60,,fhockey
86,9/9/2017,at Elizabethtown,L,1-2,(0-3),,129,Stephi Rydgren (1) (Laura Holdman),fhockey
87,9/12/2017,vs King's,W,4-1,(1-3),,55,Alexandria DeAngelo (1) (Stephi Rydgren)  Marlee Siegel (1) (Emma Strause)  Alexandria DeAngelo (2) (Emma Strause)  Stephi Rydgren (2),fhockey
88,9/16/2017,at Franklin & Marshall,L,0-3,(1-4),,137,,fhockey
89,9/20/2017,at Haverford,L,0-1,"(1-5, 0-2 CC)",0-2 CC,71,,fhockey
90,9/23/2017,vs Dickinson,L,0-1,(1-6 (0-3 CC)),,80,,fhockey
91,9/27/2017,at Montclair State,L,1-5,(1-7),,134,Courtney Allen (1),fhockey
92,10/4/2017,vs Bryn Mawr,W,4-1,"(2-7, 1-3 CC)",1-3 CC,85,Laura Holdman (2) (Rachel Richards)  Rachel Richards (1) (Courtney Allen)  Laura Holdman (3) Chloe Buergenthal (1) (Jessica Oxer),fhockey
93,10/6/2017,at Johns Hopkins,L,0-2,"(2-8, 1-4 CC)",1-4 CC,150,,fhockey
94,10/11/2017,vs Ursinus,L,1-2,"(2-9, 1-5 CC)",1-5 CC,95,Courtney Allen (2) (Laura Holdman),fhockey
95,10/14/2017,vs Gettysburg,W,1-0,(3-9 (2-5 CC)),,104,Rachel Richards (2) (Alexandria DeAngelo),fhockey
