,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
132,10/17/2015,vs Franklin & Marshall,L,0-4,"(8-4, 5-2)",5-2,135,,fhockey
133,10/21/2015,at Swarthmore,W,3-2,"(9-4,6-2)",6-2,50,Taylor Smith (7) (Laura Holdman)  Emily Davis (4) Laura Holdman (4) (Alexandria DeAngelo),fhockey
134,10/23/2015,at Gettysburg,W,2-1,"(10-4, 7-2 CC)",7-2 CC,141,Emily Davis (0) Emily Davis (0) (Laura Holdman),fhockey
135,10/27/2015,vs Stockton,W,2-1,(11-4),,75,Laura Holdman (5) Stephi Rydgren (2) (Emily Boyle),fhockey
136,10/30/2015,vs Ursinus,L,0-4,(11-5 (7-3 CC)),,80,,fhockey
137,11/4/2015,vs Dickinson,L,0-1,(11-6),,100,,fhockey
138,11/11/2015,vs Alvernia,L,1-2,(11-7),,64,Laura Holdman (6) (Rachel Strow),fhockey
139,8/29/2014,vs Scranton,L,0-1,(0-1),,100,,fhockey
140,9/3/2014,vs Montclair State,W,3-1,(1-1),,200,Lauren Jordan (1) (Rachel Strow)  Lauren Jordan (2) (Samantha Swire)  Emily Boyle (1) (Samantha Swire),fhockey
141,9/6/2014,vs Elizabethtown,W,1-0,(2-1),,100,Emily Boyle (2),fhockey
142,9/12/2014,vs Drew,W,5-1,(3-1),,80,Samantha Swire (1) (Lauren Jordan)  Lauren Jordan (3) (Kayleigh Thies)  Kayleigh Thies (1) (Samantha Swire)  Christine Germaske (1) Emily Boyle (3) (Lauren Jordan),fhockey
143,9/16/2014,at King's,W,3-0,(4-1),,57,Kayleigh Thies (0) (Samantha Swire)  Lauren Jordan (0) (Kayleigh Thies)  Emily Boyle (0),fhockey
144,9/19/2014,at McDaniel,L,1-2,"(4-2, 0-1 CC)",0-1 CC,176,Alyssa Scott (1) (Samantha Swire),fhockey
145,9/26/2014,vs Johns Hopkins,W,5-2,(5-2 (1-1)),,150,Christine Germaske (2) (Lauren Jordan)  Kayleigh Thies (3) Kayleigh Thies (4) (Samantha Swire)  Kayleigh Thies (5) Taylor Smith (1),fhockey
146,10/1/2014,at Haverford,W,2-1,(6-2 (2-1 CC)),,55,Kayleigh Thies (6) (Rachel Strow)  Kayleigh Thies (7) (Rachel Strow),fhockey
147,10/4/2014,vs Dickinson,W,3-2,(7-2 (3-1 CC)),,100,Samantha Swire (2) Lauren Jordan (5) (Kayleigh Thies)  Gwen Remaley (0),fhockey
148,10/8/2014,vs Bryn Mawr,W,8-0,(8-2 (4-1 CC)),,108,Emily Boyle (5) Taylor Smith (2) Christine Germaske (3) (Lauren Jordan)  Ray Gallagher (1) Christine Germaske (4) (Lauren Jordan)  Kayleigh Thies (8) Samantha Swire (3) Gwen Remaley (0),fhockey
149,10/11/2014,at Washington College,W,2-1,"(9-2, 5-1 CC)",5-1 CC,67,Samantha Swire (4) Lauren Jordan (6) (Heather Porrini),fhockey
150,10/18/2014,at Franklin & Marshall,L,1-2,"(9-3,5-2)",5-2,198,Rachel Strow (1),fhockey
151,10/22/2014,vs Swarthmore,W,9-1,(10-3 (6-2 CC)),,75,Kayleigh Thies (9) Lauren Jordan (7) (Kayleigh Thies)  Lauren Jordan (8) (Kayleigh Thies)  Meghan Gill (1) (Kayleigh Thies)  Gwen Remaley (3) Lauren Jordan (9) (Christine Germaske)  Christine Germaske (5) (Meghan Gill)  Meghan Gill (2) (Alexandria DeAngelo)  Rachel Strow (2) (Meghan Gill),fhockey
152,10/24/2014,vs Gettysburg,W,1-0,(11-3 7-2 CC)),,129,Kayleigh Thies (10) (Emily Boyle),fhockey
