,Date,Opponent,Result,Score,Record,Duration,Attendance,team_name
81,9/17/2016,at McDaniel,W,42-13,"3-0 , 2-0",2:40,3812,football
82,9/24/2016,vs Johns Hopkins,L,24-30,"3-1 , 2-1",2:53,3718,football
83,10/1/2016,at Susquehanna,W,33-30,"4-1 , 3-1",1:52,989,football
84,10/15/2016,vs Gettysburg,W,43-7,"5-1 , 4-1",2:42,2010,football
85,10/22/2016,vs Juniata,W,56-17,"6-1 , 5-1",2:24,1277,football
86,10/29/2016,at Dickinson,W,72-7,"7-1 , 6-1",2:41,2600,football
87,11/5/2016,vs Ursinus,W,49-7,"8-1 , 7-1",2:42,1872,football
88,11/12/2016,at Moravian,W,31-12,"9-1 , 8-1",2:43,1988,football
89,11/19/2016,vs Delaware Valley,L,27-30,9-2,2:44,2550,football
90,,,,,,,24350,football
91,9/4/2015,vs Wilkes,W,35-7,1-0,2:40,3254,football
92,9/12/2015,at Franklin & Marshall,L,15-16,"1-1 , 0-1",3h 46m,671,football
93,9/19/2015,vs McDaniel,W,55-0,"2-1 , 1-1",2:37,3255,football
94,9/26/2015,at Johns Hopkins,L,28-49,"2-2 , 1-2",2:40,2250,football
95,10/3/2015,vs Susquehanna,W,27-24,"3-2 , 2-2",2:42,1003,football
96,10/17/2015,at Gettysburg,W,41-13,"4-2 , 3-2",2:38,2775,football
97,10/24/2015,at Juniata,W,41-35,"5-2 , 4-2",,2100,football
98,10/31/2015,vs Dickinson,W,15-13,"6-2 , 5-2",2:25,2815,football
99,11/7/2015,at Ursinus,W,10-9,"6-3 , 6-2",2:48,4444,football
100,11/14/2015,vs Moravian,W,28-14,"8-2 , 7-2",2:36,3240,football
101,11/21/2015,vs Stevenson,L,9-14,8-3,2:30,1490,football
102,,,,,,,27297,football
103,9/6/2014,at Wilkes,W,34-0,1-0,2:30,725,football
104,9/13/2014,vs Franklin & Marshall,W,42-7,"2-0 , 1-0",2:35,2470,football
105,9/20/2014,at McDaniel,W,59-10,"3-0 , 2-0",2:42,3083,football
106,9/27/2014,vs Johns Hopkins,L,26-42,"3-1 , 2-1",3:04,3426,football
107,10/4/2014,at Susquehanna,W,24-20,"4-1 , 3-1",2:54,2216,football
108,10/18/2014,vs Gettysburg,W,47-6,"5-1 , 4-1",2:45,2375,football
109,10/25/2014,vs Juniata,W,42-13,"6-1 , 5-1",2:33,3141,football
110,11/1/2014,at Dickinson,W,34-20,"7-1 , 6-1",2:25,700,football
111,11/8/2014,vs Ursinus,W,41-27,"8-1 , 7-1",2:48,2375,football
112,11/15/2014,at Moravian,W,37-7,"9-1 , 8-1",2:38,2198,football
113,11/22/2014,at Widener,L,35-36,9-2,2:52,0,football
114,,,,,,,22709,football
115,9/7/2013,vs Apprentice School,W,59-6,1-0,2:25,659,football
116,9/14/2013,at Franklin & Marshall,L,21-28,"1-1 , 0-1",2h 40,1107,football
117,9/21/2013,vs McDaniel,W,58-0,"2-1 , 1-1",2:28,2658,football
118,9/28/2013,at Johns Hopkins,L,13-45,"2-2 , 1-2",2:30,1600,football
119,10/5/2013,vs Susquehanna,W,38-18,"3-2 , 2-2",2:35,1801,football
120,10/19/2013,at Gettysburg,W,35-10,"4-2 , 3-2",2:35,1080,football
121,10/26/2013,at Juniata,W,27-7,"5-2 , 4-2",2:50,1300,football
122,11/2/2013,vs Dickinson,W,42-3,"6-2 , 5-2",2:25,2842,football
123,11/9/2013,at Ursinus,W,41-10,"7-2 , 6-2",2:43,2287,football
124,11/16/2013,vs Moravian,W,24-12,"8-2 , 7-2",2:35,3167,football
125,11/23/2013,vs Salisbury,L,19-21,8-3,2:20,2119,football
126,,,,,,,20620,football
127,9/1/2012,at Apprentice School,W,27-7,1-0,2:40,1043,football
128,9/8/2012,vs Franklin & Marshall,W,21-0,"2-0 , 1-0",2:20,2716,football
129,9/15/2012,at McDaniel,W,33-0,"3-0 , 2-0",2:31,4013,football
130,9/22/2012,vs Johns Hopkins,L,21-33,"3-1 , 2-1",2:30,3121,football
131,9/29/2012,at Susquehanna,L,0-17,"3-2 , 2-2",2:34,1226,football
132,10/10/2012,at Moravian,W,45-7,"8-2 , 7-2",2:35,1973,football
133,10/13/2012,vs Gettysburg,W,35-31,"4-2 , 3-2",2:40,2043,football
134,10/20/2012,vs Juniata,W,35-14,"5-2 , 4-2",2:37,1435,football
135,10/27/2012,at Dickinson,W,61-21,"6-2 , 5-2",2:39,800,football
136,11/3/2012,vs Ursinus,L,14-14,"7-2 , 6-2",3:00,3149,football
137,11/17/2012,vs Delaware Valley,L,21-24,8-3,2:45,1813,football
138,,,,,,,23332,football
